#,RetTime [min],Type,Width [min],Area [pA*s],Height [pA],Area %
1,6.532,BB,0.2652,2.58464,0.138823,0.02279
2,7.678,BB,0.1992,11184.5,886.36682,98.60712
3,11.147,BB,0.1415,5.94361,0.61077,0.0524
4,13.819,BVE,0.099,1.5269,0.225406,0.01346
5,14.12,VBR,0.1036,20.87631,3.05989,0.18405
6,16.026,BB,0.0937,79.8989,13.36862,0.70442
7,19.571,BV,0.0785,32.89933,6.56159,0.29005
8,19.782,VB,0.0881,14.25695,2.44307,0.1257
