#,RetTime [min],Type,Width [min],Area [pA*s],Height [pA],Area %
1,5.608,BB,0.2497,3.14655,0.162644,0.00231
2,8.2,BV,0.3297,134338.0,4996.2207,98.67075
3,8.911,VB,0.0711,194.83318,41.25524,0.1431
4,13.783,BB,0.0782,32.65845,6.54306,0.02399
5,14.157,BB,0.0875,535.30591,98.38533,0.39318
6,16.079,BB,0.0819,1039.04773,195.70088,0.76318
7,19.818,BB,0.095,4.74289,0.737446,0.00348
