,name,5.6_Peak_Area,5.6_actual-RT,8.1_Peak_Area,8.1_actual-RT,8.9_Peak_Area,8.9_actual-RT,13.8_Peak_Area,13.8_actual-RT,14.1_Peak_Area,14.1_actual-RT,16.0_Peak_Area,16.0_actual-RT,19.7_Peak_Area,19.7_actual-RT
F-021-73-CL_3.D,CL_3.D,2.83962,5.604,125820.0,8.162,185.76691,8.889,30.95312,13.779,499.83865,14.147,972.27094,16.069,5.00262,19.814
F-027-73-CL_3.D,CL_3.D,2.81338,5.616,132707.0,8.189,194.93391,8.908,32.69389,13.782,528.67841,14.156,1026.09937,16.077,4.93626,19.818
F-026-73-CL_3.D,CL_3.D,2.76455,5.621,134495.0,8.2,195.33255,8.912,32.97177,13.784,535.83685,14.158,1039.97876,16.079,5.06872,19.819
F-023-73-CL_3.D,CL_3.D,2.79023,5.609,131657.0,8.187,191.50667,8.904,32.07833,13.781,524.25909,14.153,1019.05756,16.074,5.00883,19.816
F-025-73-CL_3.D,CL_3.D,3.14655,5.608,134338.0,8.2,194.83318,8.911,32.65845,13.783,535.30591,14.157,1039.04773,16.079,4.74289,19.818
F-028-73-CL_3.D,CL_3.D,2.92222,5.611,131771.0,8.188,191.92209,8.905,32.29654,13.782,524.83105,14.155,1019.44977,16.076,4.8413,19.818
F-022-73-CL_3.D,CL_3.D,3.43493,5.612,134016.0,8.195,194.29031,8.91,32.70548,13.783,533.83398,14.157,1036.07031,16.078,5.12651,19.818
F-030-73-CL_3.D,CL_3.D,3.13528,5.61,134167.0,8.2,194.47903,8.912,32.74963,13.784,534.77472,14.159,1038.2522,16.08,5.04876,19.82
F-024-73-CL_3.D,CL_3.D,2.95575,5.604,128389.0,8.174,186.13281,8.895,31.50722,13.779,510.74609,14.15,992.60046,16.071,4.68883,19.815
F-029-73-CL_3.D,CL_3.D,3.0061,5.611,130169.0,8.18,189.02826,8.901,31.92019,13.782,518.12073,14.154,1006.57733,16.075,4.53575,19.819
