,name,5.6_Peak_Area,5.6_actual-RT,5.9_Peak_Area,5.9_actual-RT,6.4_Peak_Area,6.4_actual-RT,7.6_Peak_Area,7.6_actual-RT,8.1_Peak_Area,8.1_actual-RT,8.9_Peak_Area,8.9_actual-RT,11.1_Peak_Area,11.1_actual-RT,13.8_Peak_Area,13.8_actual-RT,14.1_Peak_Area,14.1_actual-RT,16.0_Peak_Area,16.0_actual-RT,18.7_Peak_Area,18.7_actual-RT,19.5_Peak_Area,19.5_actual-RT,19.7_Peak_Area,19.7_actual-RT
F-070-89-CL_Clarlyle.D,CL_Clarlyle.D,,,,,,,12173.8,7.687,,,,,16.01641,11.131,2.6764,13.806,12.94352,14.128,119.52762,16.025,,,11.22186,19.582,5.73527,19.792
F-026-73-CL_3.D,CL_3.D,2.76455,5.621,,,,,,,134495.0,8.2,195.33255,8.912,,,32.97177,13.784,535.83685,14.158,1039.97876,16.079,,,,,5.06872,19.819
F-042-86-CL_whiskey_08.D,CL_whiskey_08.D,,,,,,,13060.2,7.684,,,,,21.04238,11.118,,,12.16078,14.12,82.28743,16.021,,,,,7.93268,19.783
F-063-88-CL_Lismore.D,CL_Lismore.D,,,,,2.27933,6.542,11217.7,7.685,,,,,11.10487,11.144,2.94232,13.811,20.60301,14.13,85.81041,16.035,,,37.63084,19.576,18.47605,19.785
F-003-71-CL_1.D,CL_1.D,2.12678,5.622,,,,,,,134040.0,8.192,25.51266,8.92,,,308.34238,13.777,51.63989,14.16,1035.38892,16.081,,,,,262.98026,19.794
F-012-72-CL_2.D,CL_2.D,3.48771,5.61,,,3.27766,6.316,,,125871.0,8.162,53.04143,8.89,,,2.31175,13.806,232.14729,14.142,1042.05957,16.068,,,,,511.62399,19.789
F-064-89-CL_Clarlyle.D,CL_Clarlyle.D,,,,,1.77298,6.504,12231.0,7.685,,,,,16.4385,11.134,2.70304,13.808,12.93029,14.131,120.35027,16.029,,,11.28304,19.585,5.97949,19.795
F-023-73-CL_3.D,CL_3.D,2.79023,5.609,,,,,,,131657.0,8.187,191.50667,8.904,,,32.07833,13.781,524.25909,14.153,1019.05756,16.074,,,,,5.00883,19.816
F-068-89-CL_Clarlyle.D,CL_Clarlyle.D,,,,,,,12091.8,7.686,,,,,16.27901,11.131,2.6997,13.806,12.99465,14.129,119.07655,16.026,,,11.15701,19.584,5.88646,19.794
F-038-74-CL_4.D,CL_4.D,3.97512,5.599,,,10.01333,6.335,,,129900.0,8.175,370.30899,8.897,,,144.68889,13.77,5.82854,14.179,978.95728,16.068,,,,,61.52544,19.785
