#,RetTime [min],Type,Width [min],Area [pA*s],Height [pA],Area %
1,6.535,BB,0.2749,2.55196,0.128948,0.02134
2,7.682,BB,0.2215,11790.8,831.1261,98.61078
3,11.153,BB,0.1597,6.31393,0.577004,0.05281
4,13.821,BVE,0.1053,1.63511,0.223648,0.01368
5,14.126,VBR,0.1091,21.98403,3.01305,0.18386
6,16.031,BB,0.0996,84.20134,12.99481,0.70421
7,19.574,BV,0.085,34.561,6.60789,0.28905
8,19.784,VB,0.0894,14.86064,2.49924,0.12428
