#,RetTime [min],Type,Width [min],Area [pA*s],Height [pA],Area %
1,7.681,BB,0.2266,13356.5,935.31647,96.13823
2,11.13,BB,0.1503,15.03452,1.43433,0.10822
3,13.769,BV,0.0929,165.38602,26.48528,1.19043
4,14.114,VB,0.1124,52.57541,7.26721,0.37843
5,16.026,BB,0.099,87.10178,13.55361,0.62695
6,19.771,BB,0.0802,216.41933,41.95365,1.55776
