#,RetTime [min],Type,Width [min],Area [pA*s],Height [pA],Area %
1,6.504,BB,0.3275,1.77298,0.0647363,0.0143
2,7.685,BB,0.215,12231.0,897.41022,98.61755
3,11.134,BB,0.1473,16.4385,1.66275,0.13254
4,13.808,BV,0.097,2.70304,0.409333,0.02179
5,14.131,VB,0.108,12.93029,1.79562,0.10426
6,16.029,BB,0.0968,120.35027,19.27516,0.97037
7,19.585,BV,0.0807,11.28304,2.16739,0.09097
8,19.795,VB,0.0964,5.97949,0.912649,0.04821
