#,RetTime [min],Type,Width [min],Area [pA*s],Height [pA],Area %
1,7.684,BB,0.2025,13060.2,1039.89014,99.06382
2,11.118,BB,0.1365,21.04238,2.34853,0.15961
3,14.12,BB,0.103,12.16078,1.79599,0.09224
4,16.021,BB,0.0889,82.28743,13.9343,0.62416
5,19.783,BB,0.0857,7.93268,1.40796,0.06017
