#,RetTime [min],Type,Width [min],Area [pA*s],Height [pA],Area %
1,7.689,BB,0.2021,13380.8,1040.31482,93.77261
2,11.11,BB,0.1341,212.72189,24.29853,1.49076
3,13.78,BV,0.0881,21.28756,3.64646,0.14918
4,14.112,VB,0.0984,517.71222,81.21848,3.62813
5,16.029,BB,0.094,76.91231,12.82307,0.539
6,19.774,BB,0.0749,59.97578,11.88343,0.42031
