#,RetTime [min],Type,Width [min],Area [pA*s],Height [pA],Area %
1,6.497,BB,0.3306,1.66328,0.0616795,0.01344
2,7.689,BB,0.2169,12208.0,885.19122,98.62052
3,11.137,BB,0.1474,16.32406,1.65068,0.13187
4,13.81,BV,0.0979,2.68988,0.402595,0.02173
5,14.132,VB,0.1079,12.89056,1.79208,0.10413
6,16.03,BB,0.0964,120.01678,19.327,0.96954
7,19.585,BV,0.0803,11.25522,2.17668,0.09092
8,19.795,VB,0.0959,5.92289,0.910729,0.04785
