#,RetTime [min],Type,Width [min],Area [pA*s],Height [pA],Area %
1,6.521,BB,0.2923,2.75816,0.125533,0.02214
2,7.675,BB,0.2153,12283.7,899.4823,98.60374
3,11.157,BB,0.1597,3.62298,0.320909,0.02908
4,13.784,BV,0.0931,7.89921,1.26104,0.06341
5,14.119,VB,0.1083,15.79784,2.18525,0.12681
6,16.021,BB,0.0929,87.98469,14.07878,0.70627
7,19.563,BV,0.0796,42.46884,8.31242,0.34091
8,19.775,VB,0.0877,13.40881,2.31156,0.10764
