#,RetTime [min],Type,Width [min],Area [pA*s],Height [pA],Area %
1,6.534,BB,0.2672,2.59384,0.143294,0.02209
2,7.685,BB,0.1983,11580.3,923.44775,98.60916
3,11.149,BB,0.1421,6.26482,0.640591,0.05335
4,13.818,BVE,0.0927,1.5731,0.239415,0.0134
5,14.123,VBR,0.1014,21.61603,3.25993,0.18407
6,16.029,BB,0.0933,82.62552,13.9016,0.70358
7,19.572,BV,0.0777,34.01628,6.87585,0.28966
8,19.783,VB,0.0867,14.64576,2.56192,0.12471
