#,RetTime [min],Type,Width [min],Area [pA*s],Height [pA],Area %
1,7.676,BB,0.2218,12121.5,852.86774,98.63181
2,11.129,BB,0.1477,16.23837,1.58222,0.13213
3,13.805,BV,0.1004,2.64422,0.383832,0.02152
4,14.126,VB,0.1125,12.86309,1.69629,0.10467
5,16.023,BB,0.0986,119.35156,18.66073,0.97116
6,19.581,BV,0.0823,11.17307,2.09156,0.09091
7,19.79,VB,0.0974,5.87507,0.885356,0.04781
