#,RetTime [min],Type,Width [min],Area [pA*s],Height [pA],Area %
1,6.539,BB,0.2888,2.31247,0.115886,0.02009
2,7.682,BB,0.2161,11328.5,805.1925,98.43277
3,11.144,BB,0.153,10.92943,1.05343,0.09496
4,13.809,BV,0.0987,3.018,0.44744,0.02622
5,14.129,VB,0.1087,20.73236,2.85597,0.18014
6,16.033,BB,0.0947,86.54504,13.51112,0.75198
7,19.575,BV,0.0804,38.07029,7.35243,0.33079
8,19.784,VB,0.0872,18.76317,3.25985,0.16303
