#,RetTime [min],Type,Width [min],Area [pA*s],Height [pA],Area %
1,7.688,BB,0.2363,13395.5,866.87982,99.06179
2,11.135,BB,0.1656,21.82578,1.96475,0.1614
3,14.134,BB,0.1189,12.38973,1.52246,0.09162
4,16.033,BB,0.1046,84.66213,12.25889,0.62609
5,19.794,BB,0.0902,7.99083,1.32826,0.05909
