#,RetTime [min],Type,Width [min],Area [pA*s],Height [pA],Area %
1,6.522,BB,0.3226,1.80357,0.0677419,0.01473
2,7.684,BB,0.2005,12073.6,948.23273,98.61569
3,11.131,BB,0.1353,16.26211,1.76753,0.13283
4,13.807,BV,0.094,2.67091,0.421361,0.02182
5,14.129,VB,0.1039,12.73375,1.8591,0.10401
6,16.028,BB,0.0937,118.66006,19.87266,0.9692
7,19.585,BV,0.0799,11.19796,2.18263,0.09146
8,19.795,VB,0.0978,6.15312,0.9223,0.05026
