#,RetTime [min],Type,Width [min],Area [pA*s],Height [pA],Area %
1,6.534,BB,0.256,2.50255,0.135162,0.02129
2,7.683,BB,0.2058,11590.9,879.43933,98.61053
3,11.15,BB,0.1486,6.29951,0.609221,0.05359
4,13.819,BVE,0.1,1.61096,0.23497,0.01371
5,14.124,VBR,0.1041,21.64252,3.15381,0.18413
6,16.03,BB,0.0954,82.62716,13.49302,0.70296
7,19.573,BV,0.0785,34.0422,6.78786,0.28962
8,19.784,VB,0.0872,14.59538,2.53336,0.12417
