#,RetTime [min],Type,Width [min],Area [pA*s],Height [pA],Area %
1,5.606,BV,0.2671,3.51948,0.168894,0.00265
2,6.347,VB,0.3435,10.19126,0.413531,0.00769
3,8.187,BV,0.3295,131018.0,4938.64697,98.80359
4,8.903,VB,0.0694,371.31384,81.15031,0.28002
5,13.775,BV,0.0776,144.99701,29.37811,0.10935
6,14.184,VB,0.0983,5.87285,0.874652,0.00443
7,16.074,BB,0.0811,988.26654,188.79689,0.74527
8,19.79,BB,0.0769,62.33074,12.7797,0.04701
